21.09.2018 открытие;21.09.2018 максимум;21.09.2018 минимум;21.09.2018 закрытие;23.10.2018 открытие;23.10.2018 максимум;23.10.2018 минимум;23.10.2018 закрытие;21.11.2018 открытие;21.11.2018 максимум;21.11.2018 минимум;21.11.2018 закрытие;04.12.2018 открытие;04.12.2018 максимум;04.12.2018 минимум;04.12.2018 закрытие
113010;113030;112970;113010;110710;110780;110690;110730;111370;111390;111340;111380;115000;115050;114980;115020
113000;113100;112970;113040;110730;110750;110690;110720;111380;111390;111150;111180;115030;115040;114990;115040
113050;113100;113020;113070;110710;110740;110670;110720;111180;111280;111160;111230;115040;115080;115020;115080
113060;113080;112940;112960;110720;110720;110670;110690;111240;111380;111210;111350;115060;115100;115010;115100
112950;113000;112910;112990;110680;110730;110630;110690;111350;111450;111330;111410;115090;115100;115060;115090
112990;113000;112910;112910;110700;110850;110700;110840;111420;111420;111340;111370;115070;115080;114980;115030
112910;112910;112820;112820;110850;110890;110780;110810;111390;111510;111370;111510;115030;115040;115000;115020
112840;112870;112790;112840;110800;110840;110750;110800;111510;111660;111510;111640;115000;115020;114980;115000
112850;112930;112810;112920;110790;110800;110760;110790;111630;111650;111530;111530;114990;115010;114960;114980
112930;112940;112870;112890;110790;110870;110720;110830;111540;111560;111520;111530;114980;115050;114980;115030
112890;112890;112850;112850;110850;110850;110780;110800;111530;111540;111460;111520;115030;115080;115020;115080
112850;112890;112790;112880;110790;110800;110660;110680;111520;111540;111470;111500;115090;115140;115050;115110
112880;112940;112860;112940;110680;110710;110650;110680;111480;111640;111480;111570;115100;115100;115050;115090
112920;112940;112840;112850;110680;110720;110590;110640;111570;111600;111550;111600;115100;115140;115090;115130
112860;112910;112840;112880;110640;110680;110610;110650;111590;111630;111490;111610;115140;115160;115080;115140
112890;112910;112870;112870;110640;110660;110580;110620;111610;111630;111540;111540;115150;115170;115100;115120
112890;113010;112890;112980;110620;110620;110560;110570;111540;111550;111430;111440;115130;115140;115100;115130
112990;113000;112940;112940;110570;110610;110410;110430;111440;111450;111400;111430;115140;115150;115110;115150
112950;113040;112920;113010;110430;110560;110380;110560;111410;111420;111340;111400;115150;115160;115130;115150
113010;113160;113010;113130;110540;110670;110540;110600;111380;111440;111350;111360;115150;115230;115130;115230
113130;113190;113100;113130;110600;110670;110580;110670;111370;111430;111350;111430;115220;115220;115160;115210
113140;113200;113120;113180;110660;110670;110590;110640;111430;111460;111410;111410;115210;115290;115210;115280
113180;113210;113120;113210;110660;110710;110600;110680;111430;111520;111430;111480;115280;115300;115230;115240
113210;113260;113160;113220;110680;110690;110590;110600;111500;111500;111320;111370;115250;115320;115250;115310
113210;113250;113180;113190;110590;110630;110560;110600;111370;111430;111330;111410;115310;115350;115280;115300
113200;113220;113160;113170;110600;110610;110390;110410;111420;111420;111360;111380;115290;115320;115260;115270
113180;113190;113160;113160;110400;110490;110390;110450;111390;111400;111350;111370;115260;115290;115240;115280
113160;113280;113160;113230;110460;110480;110380;110400;111360;111410;111330;111370;115290;115290;115230;115250
113250;113310;113210;113290;110400;110480;110280;110470;111390;111440;111380;111390;115260;115290;115220;115240
113270;113340;113250;113300;110470;110470;110410;110440;111380;111380;111260;111320;115240;115250;115220;115250
113300;113310;113250;113280;110440;110550;110420;110540;111310;111380;111290;111350;115240;115310;115230;115240
113280;113300;113210;113220;110550;110700;110530;110650;111360;111360;111300;111310;115240;115260;115220;115230
113230;113250;113160;113160;110660;110700;110630;110680;111320;111360;111300;111330;115240;115240;115210;115240
113160;113250;113140;113230;110680;110690;110570;110690;111340;111380;111330;111380;115240;115250;115200;115250
113240;113240;113150;113190;110680;110680;110620;110650;111370;111480;111370;111450;115250;115280;115210;115210
113190;113200;113170;113180;110640;110690;110570;110600;111450;111480;111430;111470;115210;115240;115200;115230
113190;113190;113130;113170;110620;110650;110600;110630;111470;111500;111420;111420;115230;115280;115220;115250
113170;113220;113160;113220;110640;110650;110560;110570;111420;111550;111420;111520;115240;115260;115170;115200
113210;113290;113200;113240;110570;110650;110560;110640;111510;111580;111500;111550;115200;115240;115170;115220
113240;113240;113150;113220;110660;110690;110600;110620;111540;111540;111460;111480;115220;115220;115160;115210
113200;113220;113180;113200;110630;110790;110580;110730;111490;111560;111450;111530;115200;115240;115190;115220
113200;113270;113180;113260;110720;110780;110700;110770;111550;111630;111550;111630;115230;115260;115210;115260
113240;113290;113240;113270;110770;110860;110720;110840;111620;111650;111580;111620;115260;115290;115250;115280
113260;113300;113260;113290;110850;110890;110800;110820;111620;111720;111610;111700;115280;115310;115240;115310
113290;113300;113260;113270;110820;110840;110730;110730;111690;111780;111680;111760;115310;115410;115300;115370
113290;113300;113260;113270;110730;110760;110710;110710;111770;111780;111670;111680;115380;115410;115330;115390
113270;113320;113250;113320;110710;110790;110710;110770;111690;111730;111650;111650;115390;115440;115390;115430
113310;113320;113290;113310;110770;110800;110720;110720;111650;111690;111650;111670;115430;115500;115430;115480
113320;113390;113300;113350;110730;110770;110710;110720;111670;111680;111610;111620;115490;115550;115470;115520
113350;113350;113260;113280;110720;110760;110700;110700;111620;111630;111580;111580;115520;115530;115470;115510
113290;113300;113240;113250;110700;110740;110700;110730;111580;111600;111550;111550;115510;115530;115450;115490
113260;113290;113250;113280;110730;110800;110710;110780;111570;111630;111570;111590;115490;115500;115460;115470
113280;113280;113170;113190;110770;110790;110740;110740;111580;111660;111580;111660;115480;115580;115480;115560
113200;113250;113180;113220;110740;110750;110670;110730;111650;111650;111520;111570;115550;115620;115520;115620
113220;113230;113180;113190;110720;110740;110690;110710;111550;111620;111540;111620;115610;115640;115570;115610
113200;113210;113170;113170;110710;110720;110650;110660;111620;111650;111570;111570;115610;115630;115560;115590
113170;113220;113160;113220;110660;110710;110650;110670;111560;111650;111550;111640;115590;115750;115570;115710
113220;113220;113180;113200;110670;110680;110600;110610;111640;111780;111630;111770;115720;115830;115710;115750
113210;113250;113200;113200;110600;110660;110590;110600;111760;111870;111750;111830;115750;115810;115720;115750
